return_id,election_id,name_on_return,party,member_id,unopposed,votes,winner
29101,14599,Sir Stephen Lushington,,1002,0,94,1
29102,14599,Sir John Nicholl,,1003,0,89,1
29103,14599,Mr John Milford,,,0,84,0
29104,14599,Mr Henry Swann,,1220,0,62,0
26247,13036,Mr John William Egerton,,650,1,,1
26248,13036,Mr Samuel Haynes,,,1,,1
29127,14611,Mr Thomas Graham,,1005,1,,1
26708,13297,Mr Harvey Christian Combe,,715,0,3377,1
26709,13297,Sir Charles Price,,716,0,3236,1
26710,13297,Sir William Curtis,,713,0,2989,1
26711,13297,Sir John William Anderson,,714,0,2387,1
26712,13297,Mr Benjamin Travers,,,0,1371,0
26713,13297,Mr Watkin Lewes,,,0,652,0
26714,13297,Mr William Lushington,,,0,113,0
30129,15152,Mr Clement Tudway,,1129,0,71,1
30130,15152,Sir Charles William Taylor,,1130,0,70,1
30131,15152,Capt. Bingfield,,,0,11,0
26740,13303,Mr William Douglas MacLean-Clephane,,717,1,,1
30141,15158,Mr Charles Long,,1132,1,,1
30142,15158,Mr John Smith,,1131,1,,1
29135,14617,Mr French Laurence,,1006,1,,1
29136,14617,Mr William Elliot,,1007,1,,1
27411,13706,Mr John Willoughby Cole,,6802,1,,1
27412,13706,Mr Mervyn Archdall II,,2977,1,,1
26185,13004,Mr Charles Shaw Lefevre,,1030,1,,1
26186,13004,Mr Josias du Pre Porcher,,642,1,,1
27482,13750,Hon Richard Trench,,6807,1,,1
27483,13750,Mr Richard Martin,,2134,1,,1
29150,14627,Mr William Draper Best,,1009,1,,1
29151,14627,Mr Hylton Jolliffe,,1008,1,,1
27925,13979,Mr George John Montagu,,856,1,,1
27926,13979,Lord Frederick Montagu,,857,1,,1
26752,13314,Hon Francis Nathaniel Burton,,12914,0,880,1
26753,13314,Sir Edward O'Brien,,718,0,535,1
26754,13314,Mr Charles MacDonnell,,,0,479,0
29162,14633,Sir William Elford,,1010,1,,1
29163,14633,Mr Philip Langmead,,1011,1,,1
26766,13320,Mr John Cust,,720,1,,1
26767,13320,Mr Robert Curzon,,719,1,,1
30194,15190,Mr William Baldwin,,1139,1,,1
30195,15190,Mr Charles Smith,,1140,1,,1
29178,14641,Mr Edward Golding,,1012,0,12,1
29179,14641,Mr Philip Metcalfe,,1013,0,12,1
29180,14641,Mr George Palmer,,,0,8,0
26778,13327,Mr William Bagwell,,721,1,,1
26784,13333,Mr Robert Ward,,723,1,,1
26785,13333,Mr James Graham,,722,1,,1
27256,13607,Sir Henry Strachey,,776,0,9,1
27257,13607,Mr Daniel Giles,,775,0,9,1
27258,13607,Mr John Frost,,,0,3,0
26805,13347,Mr Robert Thornton,,724,1,,1
26806,13347,Mr John Denison,,725,1,,1
26151,12985,Mr William Clive,,638,0,85,1
26152,12985,Mr John Robinson,,639,0,70,1
26153,12985,Mr Rchard Bateman Robson,,,0,59,0
26154,12985,Mr John Charlton Kinchant,,,0,44,0
29215,14659,Mr John Jeffery,,1016,1,,1
29216,14659,Mr George Garland,,1017,1,,1
30222,15206,Mr Charles James Fox,,1141,0,2671,1
30223,15206,Mr Alan Gardiner,,1142,0,2431,1
30224,15206,Mr John Graham,,,0,1693,0
27999,14013,Mr Charles Alexander Crickett,,864,1,,1
28000,14013,Sir Andrew Snape Hamond,,865,1,,1
30247,15215,Sir Michael le Fleming,,1143,1,,1
30248,15215,Mr James Lowther,,1144,1,,1
26831,13363,Mr Henry Bankes,,726,1,,1
26832,13363,Mr Nathaniel Bond,,727,1,,1
26823,13355,Mr Walter Jones,,1509,1,,1
29251,14681,Mr Edward Smith Stanley,,1021,1,,1
29252,14681,Mr John Horrocks,,1022,1,,1
28681,14359,Mr Robert Dallas,,944,1,,1
28682,14359,Mr Robert Sharpe Ainslie,,943,1,,1
29800,14969,Mr Joseph Foster-Barham,,1087,1,,1
29801,14969,Mr George Porter,,1086,1,,1
29781,14958,Mr Alexander Forrester Inglis Cochrane,,1084,0,3,1
29782,14958,Sir John Henderson,,1473,0,2,0
26843,13370,Mr Christopher Hely-Hutchinson,,728,1,,1
26844,13370,Mr Mountifort Longfield,,,1,,1
27237,13594,Sir Ralph Milbanke,,773,1,,1
27238,13594,Mr Rowland Burdon,,772,1,,1
26856,13375,Mr Henry Boyle,,,1,,1
26857,13375,Mr Robert Uniacke Fitzgerald,,,1,,1
29283,14698,Mr John Prinsep,,1026,0,78,1
29284,14698,Mr George Peter Moore,,1025,0,71,1
29285,14698,Mr John Sargent,,,0,69,0
29286,14698,Mr John Willett Payne,,,0,69,0
26868,13380,Sir William Lemon,,729,1,,1
26869,13380,Mr Francis Gregor,,730,1,,1
26260,13044,Mr George Manners-Sutton,,653,1,,1
26261,13044,Mr Henry Jodrell,,652,1,,1
27250,13601,Sir James St.Clair-Erskine,,774,1,,1
28646,14342,Mr Henry William Paget,,939,1,,1
28647,14342,Mr Hugh Leycester,,940,1,,1
